                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.839,                 5.0306,                 4.1888,                      0,                      0,                      0,                      0,                 2.1177,                 4.7916,                 4.0361,                0.07075,                0.00325,                0.00325
                      1,                 2.8074,                 4.4242,                 4.0595,                0.00369,                0.84277,                0.01143,                0.00461,                 2.1064,                 4.5194,                 3.9236,                0.04062,               0.006453,               0.006453
                      2,                 2.7496,                 4.0492,                 3.8961,                0.00337,                0.94969,                0.01432,                0.00491,                 2.0574,                 4.4118,                 3.8045,               0.010357,               0.009524,               0.009524
                      3,                 2.7671,                 3.6858,                 3.6744,                0.03219,                0.24528,                 0.0317,                 0.0111,                  2.536,                 5.8535,                 3.8881,               0.009406,               0.009406,               0.009406
                      4,                 2.6036,                 3.1862,                 3.4493,                0.05251,                0.13836,                0.03584,                0.01435,                 3.5434,                 44.032,                 7.0478,               0.009406,               0.009406,               0.009406
                      5,                 2.3694,                  2.737,                 3.1529,                0.08383,                0.33333,                0.08974,                0.04002,                 2.0223,                 7.1133,                 3.2315,               0.009208,               0.009208,               0.009208
                      6,                 2.1986,                 2.5219,                 2.9664,                0.74035,                0.62264,                0.68684,                0.37596,                 1.6567,                 2.7091,                 2.7842,                0.00901,                0.00901,                0.00901
                      7,                 2.0393,                 2.2045,                 2.7841,                0.92623,                0.78965,                0.90233,                0.53564,                 1.5219,                 2.4698,                  2.531,               0.008812,               0.008812,               0.008812
                      8,                 1.8828,                 2.0217,                 2.5798,                  0.951,                0.85535,                0.94592,                0.59927,                 1.3623,                 1.7442,                 2.3515,               0.008614,               0.008614,               0.008614
                      9,                 1.7463,                 1.8854,                  2.481,                0.80736,                0.50082,                 0.6213,                 0.3779,                 1.4528,                 2.7022,                 2.4903,               0.008416,               0.008416,               0.008416
                     10,                 1.6688,                 1.6989,                 2.3966,                0.97126,                0.87421,                0.96229,                0.60706,                 1.3553,                 1.6365,                 2.2866,               0.008218,               0.008218,               0.008218
                     11,                 1.5995,                 1.5964,                  2.334,                0.97347,                0.92296,                0.97366,                0.63421,                 1.2915,                 1.4322,                 2.2385,                0.00802,                0.00802,                0.00802
                     12,                 1.5569,                 1.5133,                 2.2533,                0.96959,                0.86792,                0.95678,                 0.6026,                  1.319,                 1.3941,                 2.2753,               0.007822,               0.007822,               0.007822
                     13,                 1.5026,                 1.4118,                 2.2192,                0.96823,                0.95841,                0.98825,                0.65812,                 1.2189,                 1.2651,                 2.1418,               0.007624,               0.007624,               0.007624
                     14,                 1.4645,                 1.4005,                 2.1543,                0.98186,                0.96226,                0.98925,                0.64448,                   1.26,                 1.1617,                 2.1749,               0.007426,               0.007426,               0.007426
                     15,                 1.4351,                 1.2945,                 2.1193,                0.90493,                0.84906,                0.92551,                0.60299,                  1.278,                 1.2684,                 2.2348,               0.007228,               0.007228,               0.007228
                     16,                 1.3953,                 1.2455,                 2.0807,                0.96649,                 0.9434,                0.98514,                0.64879,                 1.2488,                  1.079,                 2.1592,                0.00703,                0.00703,                0.00703
                     17,                 1.3873,                 1.1802,                 2.0771,                0.98198,                0.89937,                0.96472,                0.61001,                 1.3273,                 1.0768,                 2.2867,               0.006832,               0.006832,               0.006832
                     18,                 1.3269,                 1.1435,                 2.0089,                0.97873,                0.91195,                0.97747,                 0.6502,                 1.2266,                0.95749,                 2.0957,               0.006634,               0.006634,               0.006634
                     19,                 1.3133,                 1.0726,                 1.9941,                0.97993,                0.92143,                 0.9821,                0.61079,                 1.2974,                0.96492,                 2.1935,               0.006436,               0.006436,               0.006436
                     20,                 1.3008,                 1.0423,                  1.971,                0.93349,                0.94969,                0.97522,                0.66925,                 1.1453,                 0.8925,                 2.0315,               0.006238,               0.006238,               0.006238
                     21,                 1.2844,                 1.0065,                 1.9452,                0.98437,                 0.9434,                0.98107,                0.63097,                 1.2753,                0.95348,                 2.1302,                0.00604,                0.00604,                0.00604
                     22,                 1.2815,                 1.0045,                 1.9399,                0.97232,                0.94969,                0.98731,                0.65524,                 1.1742,                0.88374,                 2.0542,               0.005842,               0.005842,               0.005842
                     23,                 1.2628,                0.99846,                 1.9337,                0.98412,                0.95597,                0.97703,                0.68622,                 1.1232,                0.85544,                 1.9907,               0.005644,               0.005644,               0.005644
                     24,                 1.2569,                0.98644,                  1.917,                0.98047,                0.94717,                0.97788,                0.65419,                 1.2517,                0.83918,                 2.1484,               0.005446,               0.005446,               0.005446
                     25,                 1.2247,                0.91375,                 1.8737,                0.96735,                0.98113,                0.99172,                 0.6665,                 1.1538,                0.76041,                 2.0217,               0.005248,               0.005248,               0.005248
                     26,                 1.2032,                0.90498,                 1.8736,                 0.9612,                0.93473,                0.97549,                0.66582,                 1.1765,                 0.8043,                 2.0636,                0.00505,                0.00505,                0.00505
                     27,                 1.2179,                0.89845,                 1.8801,                0.99147,                0.96226,                0.99266,                0.68812,                 1.1199,                0.71973,                 2.0047,               0.004852,               0.004852,               0.004852
                     28,                 1.2032,                0.86705,                 1.8566,                0.99851,                0.95597,                0.99187,                0.69141,                 1.1696,                0.73382,                 2.0404,               0.004654,               0.004654,               0.004654
                     29,                 1.1997,                0.89183,                  1.856,                0.98073,                0.96019,                0.99249,                0.69932,                 1.1219,                0.69691,                 1.9767,               0.004456,               0.004456,               0.004456
                     30,                 1.1647,                0.85715,                 1.8258,                0.98173,                0.97484,                0.99072,                0.69432,                  1.119,                0.67501,                 1.9659,               0.004258,               0.004258,               0.004258
                     31,                 1.1655,                0.83742,                 1.8427,                0.98443,                0.93711,                0.97954,                0.68156,                  1.138,                0.73147,                 2.0125,                0.00406,                0.00406,                0.00406
                     32,                  1.149,                0.82254,                 1.7873,                0.98105,                0.97706,                0.99297,                0.69148,                 1.1088,                0.66122,                 1.9525,               0.003862,               0.003862,               0.003862
                     33,                 1.1362,                0.78426,                 1.7918,                0.99934,                0.97484,                0.99324,                0.70028,                 1.1065,                0.65102,                 1.9537,               0.003664,               0.003664,               0.003664
                     34,                 1.1352,                0.78815,                 1.7809,                0.99799,                0.95597,                0.99364,                0.69108,                 1.1238,                0.66604,                 1.9721,               0.003466,               0.003466,               0.003466
                     35,                 1.1154,                0.78066,                 1.7786,                0.99764,                0.96855,                0.99321,                0.70351,                 1.0861,                0.63096,                 1.9379,               0.003268,               0.003268,               0.003268
                     36,                 1.1374,                0.79052,                  1.788,                0.98141,                0.99628,                0.99475,                0.70292,                 1.1122,                0.61806,                 1.9593,                0.00307,                0.00307,                0.00307
                     37,                 1.1136,                0.75754,                 1.7732,                0.97646,                0.98113,                0.99426,                0.69272,                 1.1048,                0.62321,                  1.938,               0.002872,               0.002872,               0.002872
                     38,                 1.0976,                0.74346,                 1.7513,                      1,                0.96459,                0.99359,                 0.7043,                 1.0854,                 0.6137,                 1.9387,               0.002674,               0.002674,               0.002674
                     39,                 1.1155,                0.73988,                 1.7591,                0.99906,                0.97484,                0.99469,                0.70009,                 1.1108,                0.59115,                 1.9556,               0.002476,               0.002476,               0.002476
                     40,                0.98854,                0.67353,                 1.7674,                0.99941,                0.96226,                0.99374,                 0.6635,                    1.2,                0.64914,                 2.0595,               0.002278,               0.002278,               0.002278
                     41,                0.97808,                0.62205,                 1.7529,                0.98109,                0.97893,                0.99383,                0.69047,                  1.109,                 0.6311,                 1.9389,                0.00208,                0.00208,                0.00208
                     42,                0.94066,                0.60046,                 1.7212,                0.98616,                0.98113,                0.99346,                0.70264,                 1.1052,                0.60723,                 1.9634,               0.001882,               0.001882,               0.001882
                     43,                0.93406,                0.59084,                 1.7176,                0.99769,                0.96855,                0.99419,                0.70905,                 1.1041,                0.59269,                 1.9614,               0.001684,               0.001684,               0.001684
                     44,                 0.9324,                0.59502,                 1.6946,                0.98088,                      1,                0.99481,                0.72081,                  1.068,                0.57792,                 1.9321,               0.001486,               0.001486,               0.001486
                     45,                0.92617,                0.56997,                 1.7152,                0.99363,                0.98098,                0.99469,                0.72356,                 1.0571,                0.56784,                 1.9192,               0.001288,               0.001288,               0.001288
                     46,                0.92986,                0.56871,                  1.708,                      1,                0.97351,                 0.9938,                0.72175,                 1.0732,                0.56713,                 1.9255,                0.00109,                0.00109,                0.00109
                     47,                0.89716,                0.55647,                 1.6687,                0.99272,                0.98113,                 0.9944,                0.71681,                 1.0606,                0.54891,                 1.9273,               0.000892,               0.000892,               0.000892
                     48,                0.92233,                0.56403,                 1.7125,                0.99808,                0.96855,                0.99432,                0.71694,                 1.1013,                0.56164,                 1.9543,               0.000694,               0.000694,               0.000694
                     49,                0.90338,                0.55867,                 1.6823,                0.97525,                 0.9915,                0.99444,                0.72263,                 1.0754,                0.54968,                 1.9377,               0.000496,               0.000496,               0.000496
